,City,Country,Date,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,vaini,TO,1619723937,-175.2,-21.2,75.2,100,90,4.61
1,calabozo,VE,1619723938,-67.4293,8.9242,71.06,93,100,9.82
2,port elizabeth,ZA,1619723938,25.5701,-33.918,57.2,94,20,12.66
3,ushuaia,AR,1619723927,-68.3,-54.8,42.8,56,20,3.44
4,kapaa,US,1619723939,-159.319,22.0752,74.75,69,40,14.97
5,salalah,OM,1619723939,54.0924,17.0151,84.2,79,20,6.91
6,hithadhoo,MV,1619723939,73.0833,-0.6,83.84,69,100,6.42
7,severo-kurilsk,RU,1619723390,156.125,50.6789,34.93,88,44,6.46
8,lebu,CL,1619723350,-73.65,-37.6167,61.21,76,100,5.66
9,bandarbeyla,SO,1619723940,50.8122,9.4942,83.71,75,66,10.45
10,hermanus,ZA,1619723525,19.2345,-34.4187,55.0,84,96,6.46
11,rikitea,PF,1619723338,-134.9692,-23.1203,76.08,71,100,10.11
12,havelock,US,1619723846,-76.9013,34.8791,76.37,57,75,19.57
13,port lincoln,AU,1619723941,135.8667,-34.7333,63.63,70,0,9.35
14,avarua,CK,1619723941,-159.775,-21.2078,80.6,83,40,10.36
15,new norfolk,AU,1619723941,147.0587,-42.7826,52.07,91,16,2.01
16,mataura,NZ,1619723942,168.8643,-46.1927,51.01,95,100,10.0
17,rocha,UY,1619723942,-54.3333,-34.4833,72.28,49,0,2.08
18,luderitz,NA,1619723943,15.1594,-26.6481,59.36,65,0,23.8
19,hobart,AU,1619723944,147.3294,-42.8794,53.55,94,90,5.75
20,gamboula,CF,1619723944,15.1393,4.1178,72.05,89,94,3.0
21,tuatapere,NZ,1619723944,167.6833,-46.1333,51.01,95,100,10.0
22,bluff,NZ,1619723945,168.3333,-46.6,51.01,95,100,10.0
23,kavieng,PG,1619723945,150.7967,-2.5744,81.91,75,30,7.36
24,port-cartier,CA,1619723945,-66.8654,50.0334,50.59,50,75,10.36
25,saint-pierre,RE,1619723946,55.4781,-21.3393,72.45,78,0,6.91
26,kahului,US,1619723946,-156.47,20.8947,71.94,83,40,12.66
27,arraial do cabo,BR,1619723947,-42.0278,-22.9661,72.63,73,75,4.61
28,cape town,ZA,1619723904,18.4232,-33.9258,56.73,76,20,10.36
29,acapulco,MX,1619723810,-99.8901,16.8634,84.2,70,20,11.5
30,dingle,PH,1619723948,122.6711,10.9995,75.9,82,89,2.82
31,sur,OM,1619723948,59.5289,22.5667,87.1,38,100,9.93
32,touros,BR,1619723949,-35.4608,-5.1989,80.6,83,75,9.22
33,thompson,CA,1619723949,-97.8558,55.7435,32.0,47,75,16.11
