,name,lat,temp
0,evensk,61.95,-6.21
1,opuwo,-18.0607,18.57
2,birao,10.2849,27.87
3,punta arenas,-53.15,7.89
4,kieta,-6.2167,28.07
5,filiatra,37.15,15.64
6,rio gallegos,-51.6226,9.0
7,castro,-24.7911,15.0
8,russell,32.3502,27.27
9,garissa,-0.4536,26.78
10,nome,64.5011,4.44
11,ocampo,21.65,32.78
12,monrovia,6.3005,27.0
13,high level,58.5169,-6.0
14,bilibino,68.0546,-8.15
15,atuona,-9.8,26.47
16,chenghai,23.4632,21.0
17,puerto ayora,-0.7393,28.0
18,ahipara,-35.1667,16.79
19,busselton,-33.65,11.87
20,nikolskoye,59.7035,1.38
21,campbellsville,37.3434,26.53
22,luderitz,-26.6481,15.11
23,kyaukse,21.6,32.0
24,toora-khem,52.4675,1.64
25,namangan,40.9983,19.0
26,albany,42.6001,18.6
27,butajira,8.1167,15.71
28,pimentel,-6.8367,20.79
29,nizhnyaya tavda,57.6731,6.84
30,butaritari,3.0707,28.16
31,mataura,-46.1927,9.44
32,adelaide,-34.9333,10.14
33,ushuaia,-54.8,6.0
34,shuangyang,43.5242,8.0
35,rikitea,-23.1203,25.07
36,svetlogorsk,52.6333,-0.08
37,upernavik,72.7868,-0.34
38,port macquarie,-31.4333,17.21
39,barrow,71.2906,-7.0
40,jalaun,26.1451,30.41
41,hilo,19.7297,25.67
42,qaanaaq,77.484,3.47
43,toamasina,-18.1667,23.0
44,saint anthony,45.0205,8.98
45,hermanus,-34.4187,14.44
46,airai,-8.9266,16.83
47,sorland,67.667,2.41
48,cidreira,-30.1811,16.0
49,ballina,-28.8667,16.2
50,lebu,-37.6167,14.19
51,ribeira grande,38.5167,15.98
52,killybegs,54.6333,7.78
53,katsuura,35.1333,15.58
54,yellowknife,62.456,-7.93
55,chuy,-33.6971,12.75
56,cape town,-33.9258,15.2
57,kahului,20.8947,25.11
58,dinard,48.6314,5.45
59,jamestown,42.097,21.33
60,portland,45.5234,17.57
61,vicosa do ceara,-3.5622,20.32
62,ilulissat,69.2167,2.0
63,boueni,-12.9025,27.0
64,ghorawal,24.7667,26.81
65,ergani,38.2653,14.5
66,tuatapere,-46.1333,9.44
67,dawlatabad,36.4141,23.13
68,morgan city,29.6994,27.87
69,kapaa,22.0752,25.89
70,tigil,57.8,-1.08
71,arraial do cabo,-22.9661,21.0
72,cabrobo,-8.5142,28.16
73,cherskiy,68.75,-3.93
74,leningradskiy,69.3833,-4.18
75,castrillon,43.3979,10.59
76,vaini,-21.2,24.0
77,isangel,-19.55,24.0
78,gamba,-2.65,25.37
79,jos,9.9167,24.55
80,vanimo,-2.6741,28.16
81,hobart,-42.8794,8.82
82,lompoc,34.6391,14.53
83,sola,-13.8833,28.0
84,kpandu,6.9954,26.37
85,pringsewu,-5.3582,22.81
86,istisu,40.9457,11.0
87,macenta,8.5435,20.76
88,oranjestad,12.524,27.88
89,longyearbyen,78.2186,-9.0
90,bluff,-46.6,9.44
91,cabo san lucas,22.8909,23.27
92,kishangarh,26.5667,28.05
93,tera,14.0078,35.23
94,lat yao,15.751,24.96
95,severo-kurilsk,50.6789,1.06
96,berea,41.3662,27.57
97,naze,28.3667,21.0
98,mar del plata,-38.0023,14.93
99,new norfolk,-42.7826,8.0
100,taksimo,56.3444,-5.48
101,pedernales,18.0384,26.72
102,fairbanks,64.8378,7.37
103,vila velha,-20.3297,26.0
104,surt,31.2089,28.43
105,nelson bay,-32.7167,14.89
106,makakilo city,21.3469,26.5
107,saint-philippe,-21.3585,21.43
108,abu dhabi,24.4667,31.0
109,hithadhoo,-0.6,27.87
110,puri,19.8,28.0
111,bintulu,3.1667,23.94
112,amapa,1.0,22.2
113,pisco,-13.7,19.53
114,chengde,40.9725,10.07
115,moussoro,13.6408,30.04
116,makokou,0.5738,21.91
117,leh,34.1667,0.51
118,jacareacanga,-6.2222,23.54
119,esperance,-33.8667,10.0
120,salalah,17.0151,28.0
121,georgetown,5.4112,25.99
122,gualeguay,-33.1416,14.88
123,tara,56.8944,6.99
124,mogadishu,2.0371,28.01
125,port alfred,-33.5906,18.71
126,bathsheba,13.2167,27.0
127,balkanabat,39.5108,16.52
128,carnarvon,-24.8667,16.0
129,tarko-sale,64.9225,0.56
130,quesnel,52.9999,11.0
131,lagoa,39.05,15.38
132,teya,60.3778,1.97
133,bredasdorp,-34.5322,11.0
134,flinders,-34.5833,15.56
135,changli,39.7042,13.45
136,wanning,18.8003,24.18
137,provideniya,64.3833,0.0
138,saskylakh,71.9167,-2.56
139,aksu,41.1231,15.4
140,obo,5.3998,22.01
141,tasiilaq,65.6145,3.0
142,mount gambier,-37.8333,10.0
143,noumea,-22.2763,24.62
144,verkhnetulomskiy,68.6073,-3.0
145,bubaque,11.2833,25.9
146,kaitangata,-46.2817,8.89
147,dikson,73.5069,-0.06
148,solano,38.2333,26.23
149,thompson,55.7435,-3.0
150,tuktoyaktuk,69.4541,-8.0
151,kisangani,0.5167,22.94
152,avarua,-21.2078,28.0
153,chokurdakh,70.6333,-2.72
154,khorixas,-20.3667,20.34
155,port elizabeth,-33.918,16.0
156,khatanga,71.9667,-4.52
157,bairiki,1.3292,29.0
158,salta,-24.7859,16.81
159,kitale,1.0157,12.93
160,belmonte,-15.8631,26.0
161,bethel,41.3712,18.2
162,dalbandin,28.8947,26.28
163,narsaq,60.9167,4.25
164,berdigestyakh,62.0989,-8.28
165,hoquiam,46.9809,12.9
166,sitka,57.0531,9.0
167,sisimiut,66.9395,0.55
168,onega,63.9061,-1.7
169,urumqi,43.801,13.0
170,pak phanang,8.3511,25.71
171,manaus,-3.1019,27.51
172,ancud,-41.8697,11.55
173,sikeston,36.8767,26.46
174,trairi,-3.2778,25.69
175,sakhon nakhon,17.1612,23.51
176,itinga,-16.6131,25.06
177,wakkanai,45.4094,7.67
178,santa cruz,-17.8,20.25
179,znamenskoye,57.1281,6.02
180,shenjiamen,29.9576,15.91
181,chone,-0.6833,23.72
182,dalvik,65.9702,4.0
183,roald,62.5833,2.57
184,turukhansk,65.8167,1.4
185,serebryansk,49.6925,11.0
186,dingle,10.9995,25.77
187,aitape,-3.1374,27.36
188,srednekolymsk,67.45,-2.05
189,pevek,69.7008,-7.83
190,clyde river,70.4692,-4.0
191,bridlington,54.0831,5.0
192,jiexiu,37.0244,10.29
193,richards bay,-28.783,22.92
194,graaff-reinet,-32.2522,13.89
195,bambous virieux,-20.3428,24.47
196,shellbrook,53.2168,0.0
197,yanam,16.7333,25.77
198,ostrovnoy,68.0531,-4.85
199,goure,13.9835,28.78
200,thomasville,35.8826,25.72
201,luganville,-15.5333,27.29
202,lipari,38.4674,15.19
203,qaqortoq,60.7167,2.01
204,kachiry,53.0675,16.1
205,hasaki,35.7333,15.13
206,torbay,47.6666,6.22
207,mpanda,-6.3655,18.55
208,san patricio,28.017,25.89
209,codrington,-38.2667,11.62
210,esil,51.9556,10.45
211,cabedelo,-6.9811,26.0
212,thohoyandou,-22.9456,19.57
213,jalesar,27.4833,29.82
214,muros,42.7762,12.46
215,lipanesti,45.05,5.0
216,hofn,64.2539,5.89
217,gizo,-8.103,27.52
218,houma,29.5958,27.07
219,burriana,39.889,14.14
220,harper,4.375,26.98
221,broome,42.2506,20.8
222,vardo,70.3705,-2.0
223,alamogordo,32.8995,23.0
224,kalabo,-14.97,20.31
225,ayan,56.45,-1.21
226,beidao,34.5686,8.14
227,ponta do sol,32.6667,13.15
228,guerrero negro,27.9769,18.5
229,mezen,65.8522,-4.16
230,te anau,-45.4167,6.42
231,lavrentiya,65.5833,-0.3
232,atambua,-9.1061,22.01
233,morelia,19.7008,32.0
234,manyana,-23.4,20.94
235,san luis,-33.295,15.96
236,vao,-22.6667,22.69
237,vangaindrano,-23.35,21.15
238,touros,-5.1989,26.0
239,tual,-5.6667,28.42
240,puerto ayacucho,5.6639,24.69
241,norman wells,65.282,-3.0
242,puerto rondon,6.2805,25.31
243,arrifes,37.7667,15.0
244,gwadar,25.1216,27.37
245,grand-santi,4.25,22.95
246,cayenne,4.9333,24.26
247,yulara,-25.2406,11.0
248,souillac,-20.5167,24.0
249,nabire,-3.3667,26.58
250,kodiak,57.79,7.0
251,churapcha,62.0025,-5.47
252,turan,16.0678,25.0
253,waitati,-45.75,11.11
254,vanavara,60.34,-4.51
255,ilebo,-4.3167,22.78
256,prince george,53.9166,6.44
257,seda,57.65,-0.11
258,jalu,29.0331,23.81
259,poum,-20.2333,24.19
260,itacoatiara,-3.1431,23.94
261,conakry,9.538,27.0
262,moshi,-3.35,22.0
263,kuopio,62.8924,-1.0
264,dargaville,-35.9333,15.81
265,owo,7.1962,23.62
266,alice springs,-23.7,8.0
267,manhattan,40.7834,16.42
268,polewali,-3.4324,25.48
269,maceio,-9.6658,26.0
270,hamilton,39.1834,26.44
271,guane,22.2025,28.82
272,sayyan,15.1718,14.56
273,kolokani,13.5728,34.15
274,laguna,38.421,25.67
275,bengkulu,-3.8004,23.97
276,pittsfield,42.4501,17.14
277,lusambo,-4.9667,21.25
278,shubarshi,48.5872,7.65
279,san javier,37.8063,16.17
280,beringovskiy,63.05,0.23
281,saint george,37.1041,16.92
282,gondanglegi,-7.7479,24.28
283,chadiza,-14.0678,17.72
284,ketchikan,55.3422,8.0
285,puerto leguizamo,-0.1934,21.13
286,chipiona,36.7366,16.75
287,catarman,12.4989,25.82
288,illela,13.7292,32.88
289,saint-augustin,51.226,2.59
290,zuwarah,32.9312,19.31
291,taiyuan,37.8694,2.0
